chr1	69091	OR4F5	ENSG00000186092	+
chr1	451678	OR4F29	ENSG00000278566	-
chr1	686654	OR4F16	ENSG00000273547	-
chr1	923928	SAMD11	ENSG00000187634	+
chr1	959309	NOC2L	ENSG00000188976	-
chr1	960587	KLHL17	ENSG00000187961	+
chr1	966497	PLEKHN1	ENSG00000187583	+
chr1	982093	PERM1	ENSG00000187642	-
chr1	1000172	HES4	ENSG00000188290	-
chr1	1001138	ISG15	ENSG00000187608	+
chr1	1020123	AGRN	ENSG00000188157	+
chr1	1074307	RNF223	ENSG00000237330	-
chr1	1116361	C1orf159	ENSG00000131591	-
chr1	1173884	TTLL10	ENSG00000162571	+
chr1	1206691	TNFRSF18	ENSG00000186891	-
chr1	1214138	TNFRSF4	ENSG00000186827	-
chr1	1232031	SDF4	ENSG00000078808	-
chr1	1232265	B3GALT6	ENSG00000176022	+
chr1	1246722	FAM132A	ENSG00000184163	-
chr1	1273885	UBE2J2	ENSG00000160087	-
chr1	1280436	SCNN1D	ENSG00000162572	+
chr1	1309609	ACAP3	ENSG00000131584	-
chr1	1308567	PUSL1	ENSG00000169972	+
chr1	1324691	CPSF3L	ENSG00000127054	-
chr1	1324756	CPTP	ENSG00000224051	+
chr1	1331314	TAS1R3	ENSG00000169962	+
chr1	1349350	DVL1	ENSG00000107404	-
chr1	1361777	MXRA8	ENSG00000162576	-
chr1	1375495	AURKAIP1	ENSG00000175756	-
chr1	1399328	CCNL2	ENSG00000221978	-
chr1	1407313	MRPL20	ENSG00000242485	-
chr1	1421769	ANKRD65	ENSG00000235098	-
chr1	1426128	TMEM88B	ENSG00000205116	+
chr1	1434861	VWA1	ENSG00000179403	+
chr1	1449689	ATAD3C	ENSG00000215915	+
chr1	1471769	ATAD3B	ENSG00000160072	+
chr1	1512151	ATAD3A	ENSG00000197785	+
chr1	1540453	TMEM240	ENSG00000205090	-
chr1	1574869	SSU72	ENSG00000160075	-
chr1	1600096	FNDC10	ENSG00000228594	-
chr1	1615415	MIB2	ENSG00000197530	+
chr1	1632095	MMP23B	ENSG00000189409	+
chr1	1659012	CDK11B	ENSG00000248333	-
chr1	1692728	SLC35E2B	ENSG00000189339	-
chr1	1724324	CDK11A	ENSG00000008128	-
chr1	1745992	SLC35E2	ENSG00000215790	-
chr1	1780457	NADK	ENSG00000008130	-
chr1	1891117	GNB1	ENSG00000078369	-
chr1	1914827	CALML6	ENSG00000169885	+
chr1	1919273	TMEM52	ENSG00000178821	-
chr1	2003837	CFAP74	ENSG00000142609	-
chr1	2019324	GABRD	ENSG00000187730	+
chr1	2050470	PRKCZ	ENSG00000067606	+
chr1	2212720	FAAP20	ENSG00000162585	-
chr1	2228695	SKI	ENSG00000157933	+
chr1	2391707	MORN1	ENSG00000116151	-
chr1	2391775	RER1	ENSG00000157916	+
chr1	2413797	PEX10	ENSG00000157911	-
chr1	2425980	PLCH2	ENSG00000149527	+
chr1	2526628	PANK4	ENSG00000157881	-
chr1	2530245	HES5	ENSG00000197921	-
chr1	2555639	TNFRSF14	ENSG00000157873	+
chr1	2586491	FAM213B	ENSG00000157870	+
chr1	2632990	MMEL1	ENSG00000142606	-
chr1	2801717	TTC34	ENSG00000215912	-
chr1	3021483	ACTRT2	ENSG00000169717	+
chr1	3069168	PRDM16	ENSG00000142611	+
chr1	3454426	ARHGEF16	ENSG00000130762	+
chr1	3611495	MEGF6	ENSG00000162591	-
chr1	3625002	TPRG1L	ENSG00000158109	+
chr1	3652761	WRAP73	ENSG00000116213	-
chr1	3652520	TP73	ENSG00000078900	+
chr1	3746460	CCDC27	ENSG00000162592	+
chr1	3772788	SMIM1	ENSG00000235169	+
chr1	3796504	LRRC47	ENSG00000130764	-
chr1	3857214	CEP104	ENSG00000116198	-
chr1	3857267	DFFB	ENSG00000169598	+
chr1	3900293	C1orf174	ENSG00000198912	-
chr1	4654732	AJAP1	ENSG00000196581	+
chr1	5992473	NPHP4	ENSG00000131697	-
chr1	5991466	KCNAB2	ENSG00000069424	+
chr1	6180123	CHD5	ENSG00000116254	-
chr1	6209389	RPL22	ENSG00000116251	-
chr1	6205475	RNF207	ENSG00000158286	+
chr1	6235972	ICMT	ENSG00000116237	-
chr1	6244192	HES3	ENSG00000173673	+
chr1	6260975	GPR153	ENSG00000158292	-
chr1	6394391	ACOT7	ENSG00000097021	-
chr1	6424670	HES2	ENSG00000069812	-
chr1	6424788	ESPN	ENSG00000187017	+
chr1	6466195	TNFRSF25	ENSG00000215788	-
chr1	6520061	PLEKHG5	ENSG00000171680	-
chr1	6554535	NOL9	ENSG00000162408	-
chr1	6555181	TAS1R1	ENSG00000173662	+
chr1	6580001	ZBTB48	ENSG00000204859	+
chr1	6614607	KLHL21	ENSG00000162413	-
chr1	6613685	PHF13	ENSG00000116273	+
chr1	6624866	THAP3	ENSG00000041988	+
chr1	6701924	DNAJC11	ENSG00000007923	-
chr1	6785324	CAMTA1	ENSG00000171735	+
chr1	7771269	VAMP3	ENSG00000049245	+
chr1	7784320	PER3	ENSG00000049246	+
chr1	7853512	UTS2	ENSG00000049247	-
chr1	7943165	TNFRSF9	ENSG00000049249	-
chr1	7954291	PARK7	ENSG00000116288	+
chr1	8026308	ERRFI1	ENSG00000116285	-
chr1	8317826	SLC45A1	ENSG00000162426	+
chr1	8817643	RERE	ENSG00000142599	-
chr1	8879249	ENO1	ENSG00000074800	-
chr1	8945867	CA6	ENSG00000131686	+
chr1	9026345	SLC2A7	ENSG00000197241	-
chr1	9088478	SLC2A5	ENSG00000142583	-
chr1	9129170	GPR157	ENSG00000180758	-
chr1	9234775	H6PD	ENSG00000049239	+
chr1	9292880	SPSB1	ENSG00000171621	+
chr1	9539482	SLC25A33	ENSG00000171612	+
chr1	9588922	TMEM201	ENSG00000188807	+
chr1	9651732	PIK3CD	ENSG00000171608	+
chr1	9824526	CLSTN1	ENSG00000171603	-
chr1	9910336	CTNNBIP1	ENSG00000178585	-
chr1	9943407	LZIC	ENSG00000162441	-
chr1	9943428	NMNAT1	ENSG00000173614	+
chr1	9997206	RBP7	ENSG00000162444	+
chr1	10032832	UBE4B	ENSG00000130939	+
chr1	10210805	KIF1B	ENSG00000054523	+
chr1	10398592	PGD	ENSG00000142657	+
chr1	10430102	APITD1-CORT	ENSG00000251503	+
chr1	10430443	CENPS	ENSG00000175279	+
chr1	10449719	CORT	ENSG00000241563	+
chr1	10472526	DFFA	ENSG00000160049	-
chr1	10472288	PEX14	ENSG00000142655	+
chr1	10796650	CASZ1	ENSG00000130940	-
chr1	10982037	C1orf127	ENSG00000175262	-
chr1	11012344	TARDBP	ENSG00000120948	+
chr1	11012662	RP4-635E18.9	ENSG00000277726	+
chr1	11047233	MASP2	ENSG00000009724	-
chr1	11060024	SRM	ENSG00000116649	-
chr1	11099881	EXOSC10	ENSG00000171824	-
chr1	11262507	MTOR	ENSG00000198793	-
chr1	11189341	ANGPTL7	ENSG00000171819	+
chr1	11273206	UBIAD1	ENSG00000120942	+
chr1	11479166	DISP3	ENSG00000204624	+
chr1	11655785	FBXO2	ENSG00000116661	-
chr1	11654375	FBXO44	ENSG00000132879	+
chr1	11664124	FBXO6	ENSG00000116663	+
chr1	11691650	MAD2L2	ENSG00000116670	-
